Time,"Real disposable cash income in % 
 to the corresponding period of the previous year","Real disposable cash income 
 base January 1999 = 100","Real accrued wages 
 of one employee in% of the previous month","Real accrued wages 
 one worker base January 1999 = 100"
Jan 1999,73.4,100,72.5,100
Feb 1999,75.9,107.3,99.1,99.1
Mar 1999,77.6,111.48470000000002,111.7,110.6947
Apr 1999,77.5,119.73456780000002,100,110.6947
May 1999,81.3,113.86757397780002,101.2,112.0230364
Jun 1999,82.8,118.53614451088981,107.7,120.6488102028
Jul 1999,79.5,116.28395776518289,96.9,116.9086970865132
Aug 1999,85.6,121.51673586461611,98.1,114.68743184186944
Sep 1999,101.3,120.42308524183456,103.1,118.24274222896739
Oct 1999,93.4,126.56466258916811,100.4,118.71571319788328
Nov 1999,100.5,127.95687387764896,103,122.27718459381977
Dec 1999,111.2,173.38156410421433,124.4,152.1128176347118
Jan 2000,102.7,103.33541220611174,80.9,123.05926946648185
Feb 2000,113.3,122.45246346424241,99.4,122.32091384968297
Mar 2000,118,132.61601793177454,108.9,133.20747518230476
Apr 2000,111.5,134.47264218281938,100.2,133.47389013266937
May 2000,113.7,130.303990275152,101.1,134.94210292412873
Jun 2000,116.5,139.1646616138623,106.4,143.57839751127298
Jun 2000,115,134.7113924422187,98.8,141.8554567411377
Aug 2000,112.4,137.6750430759475,98.5,139.72762489002062
Sep 2000,114.7,139.32714359285887,102.1,142.66190501271106
Oct 2000,110.5,137.09790929537314,100.5,143.3752145377746
Nov 2000,114.9,144.22700057873254,101.9,146.09934361399235
Dec 2000,105.3,179.4183887199433,118.8,173.5660202134229
Jan 2001,111.7,115.1866055582036,88.3,153.25879584845242
Feb 2001,105.7,129.12418483074623,94.9,145.44259726018134
Mar 2001,106.4,140.87448565034413,109.8,159.6959717916791
Apr 2001,108.2,145.24159470550478,96.7,154.4260047225537
May 2001,104.2,135.65564945494145,102.7,158.59550685006263
Jun 2001,109.7,152.4769499873542,105.7,167.6354507405162
Jun 2001,110.1,148.2075953877083,101.9,170.82052430458603
Aug 2001,112.8,155.1733523709306,100.3,171.33298587749977
Sep 2001,110.7,154.08713890433407,100.1,171.50431886337728
Oct 2001,112.6,154.2412260432384,102.2,175.2774138783716
Nov 2001,107.7,155.16667339949782,100.4,175.9785235338851
Dec 2001,106.8,191.4756749749803,124.7,219.44521884675473
Jan 2002,112.1,129.24608060811173,80.7,177.09229160933108
Feb 2002,110.6,142.81691907196347,97.9,173.37335348553515
Mar 2002,107.6,151.52875113535322,107.1,185.68286158300813
Apr 2002,116.6,169.4091437693249,100.7,186.98264161408918
May 2002,107.6,145.86127278538873,100.1,187.16962425570324
Jun 2002,104.5,159.2805098816445,105.9,198.21263208678974
Jun 2002,112.9,167.2445353757267,102.2,202.5733099926991
Aug 2002,108.7,168.5824916587325,98,198.52184379284515
Sep 2002,105.8,162.85068694233559,99.8,198.12480010525945
Oct 2002,116.5,179.4614570104538,101.7,201.49292170704888
Nov 2002,115.6,179.28199555344338,99.6,200.68695002022068
Dec 2002,114.6,219.26188056186126,120.4,241.6270878243457
Jan 2003,117.2,151.07143570712242,80.6,194.75143278642264
Feb 2003,119.2,169.9553651705127,98.5,191.8301612946263
Mar 2003,118,178.4531334290383,104.8,201.03800903676836
Apr 2003,109.8,185.59125876619981,101.2,203.4504651452096
May 2003,121.5,176.497287086656,101.5,206.5022221223877
Jun 2003,115.7,183.73367585720888,105.5,217.85984433911904
Jul 2003,112,186.85714834678143,100.6,219.16700340515374
Aug 2003,110.9,186.48343405008785,98.3,215.44116434726612
Sep 2003,115.9,188.34826839058874,100.9,217.38013482639153
Oct 2003,111.7,199.83751276241466,104.6,227.37962102840552
Nov 2003,111.9,200.03735027517706,101.1,229.88079685971795
Dec 2003,119.3,260.8487047588309,121.3,278.84540659083785
Jan 2004,121.1,182.59409333118163,78.7,219.4513349869894
Feb 2004,110,186.42856929113645,102.3,224.49871569169017
Mar 2004,109.2,194.2585692013642,103.9,233.25416560366608
Apr 2004,111,205.52556621504334,99.4,231.85464061004407
May 2004,103.1,181.6846005340983,100.4,232.78205917248425
Jun 2004,111,203.305067997656,106.5,247.9128930186957
Jul 2004,111.4,207.57447442560678,98.8,244.93793830247134
Aug 2004,108.9,202.80026151381782,98.2,240.52905541302687
Sep 2004,108.2,203.40866229835927,100.3,241.25064257926596
Oct 2004,109.3,218.05408598384113,98.8,238.35563486831478
Nov 2004,111.6,223.0693299614695,100.9,240.5008355821296
Dec 2004,111.4,290.4362676098333,123.5,297.01853194393004
Jan 2005,92.8,169.61478028414265,80.9,240.2879923426394
Feb 2005,108.7,202.6896624395505,100.4,241.24914431200995
Mar 2005,115.1,223.76938733326378,107.1,258.37783355816265
Apr 2005,113.3,232.94393221392758,97.9,252.95189905344125
May 2005,118.9,216.1719690945248,100.2,253.45780285154814
Jun 2005,113.6,231.30400693114152,106.5,269.93256003689874
Jul 2005,111.9,232.69183097272835,99.5,268.58289723671425
Aug 2005,111.4,226.176459705492,100.6,270.1943946201345
Sep 2005,118.7,241.78263542517095,102.2,276.1386713017775
Oct 2005,110.6,241.5408527897458,98.2,271.1681752183455
Nov 2005,110.8,247.3378332566997,101.8,276.04920237227566
Dec 2005,119.1,346.52030439263626,125.7,346.99384738195056
Jan 2006,111,188.50704558959413,76.8,266.49127478933804
Feb 2006,109.4,222.2498067501315,101,269.1561875372314
Mar 2006,109.7,246.0305360723956,106.2,285.84387116453973
Apr 2006,109.9,256.60984912350864,99,282.9854324528944
May 2006,118.7,257.1230688217557,103.7,293.45589345365147
Jun 2006,118.2,273.8360682951698,108,316.93236492994356
Jul 2006,114.1,265.8948223146099,97.8,309.9598529014848
Aug 2006,119.6,270.9468239385875,99.7,309.02997334278035
Sep 2006,110.1,266.6116747555701,102.4,316.4466927030071
Oct 2006,112.5,272.2105199254371,99.2,313.915119161383
Nov 2006,113.5,280.9212565630511,101.8,319.5655913062879
Dec 2006,114.6,397.5035780367173,125.2,400.09612031547243
Jan 2007,110.6,207.4968677351664,79.6,318.476511771116
Feb 2007,115.1,254.5986567110492,101.7,323.890612471225
Mar 2007,110.1,269.61997745700114,105.4,341.3807055446712
Apr 2007,110.6,282.5617363749372,99.7,340.3565634280372
May 2007,110.4,282.5617363749372,101.8,346.4829815697418
Jun 2007,109.1,297.2549466664339,106.3,368.31140940863554
Jul 2007,112.6,298.1467115064332,98,360.9451812204628
Aug 2007,111.1,299.63744506396534,97.9,353.3653324148331
Sep 2007,113.6,301.7349071794131,102.3,361.49273506037423
Oct 2007,111.4,302.03664208659245,100.7,364.02318420579684
Nov 2007,115.5,323.17920703265395,103.5,376.7639956529997
Dec 2007,112.2,444.04823046286657,125.5,472.8388145445146
Jan 2008,108.3,224.6884046142105,77,364.08588719927627
Feb 2008,110.7,281.75925938622,102.9,374.64437792805535
Mar 2008,104.7,282.32277790499245,104.2,390.3794418010337
Apr 2008,110.1,311.1197012513017,101,394.28323621904406
May 2008,104.2,294.63035708498273,99.4,391.9175368017298
Jun 2008,104.1,309.3618749392319,105.4,413.08108378902324
Jul 2008,106.3,317.0959218127127,100,413.08108378902324
Aug 2008,108.6,325.34041577984317,97.2,401.51481344293063
Sep 2008,99.9,301.26522501213475,102.1,409.9466245252322
Oct 2008,99.4,300.0601641120862,98.6,404.2073717818789
Nov 2008,95.4,308.16178854311255,98.9,399.7610906922783
Dec 2008,89.3,396.29606006644275,122.3,488.9078139166563
Jan 2009,95.9,215.58505667614486,77.2,377.4368323436587
Feb 2009,102.6,289.09956100271023,98.5,371.7752798585038
Mar 2009,105.7,298.63984651579966,104.4,388.133392172278
Apr 2009,102.8,319.84327561842144,98.6,382.6995246818661
May 2009,105.6,311.20750717672405,99.4,380.4033275337749
Jun 2009,103.3,319.9213173776723,106.3,404.36873716840273
Jul 2009,98.1,311.2834418084751,97.6,394.663887476361
Aug 2009,91.8,299.14338757794457,97.4,384.4026264019756
Sep 2009,102.7,309.6134061431726,102.7,394.781497314829
Oct 2009,109.4,328.80943732404927,99.7,393.59715282288454
Nov 2009,104.1,319.60277307897593,101.9,401.07549872651936
Dec 2009,112.9,448.0830878567242,124.3,498.53684491706355
Jan 2010,116.6,251.82269537547901,76.7,382.3777600513877
Feb 2010,106.9,309.49009261646376,100.1,382.7601378114391
Mar 2010,106.4,318.1558152097247,107.5,411.46714814729705
Apr 2010,106.5,341.0630339048249,98.7,406.1180752213822
May 2010,102.9,320.94031490444024,99.2,402.86913061961116
Jun 2010,104.4,334.7407484453312,107.1,431.4728388936035
Jul 2010,108.3,337.75341518133916,97.5,420.6860179212634
Aug 2010,106.3,318.5014705160028,96.8,407.224065347783
Sep 2010,104,322.3234881621949,100.4,408.85296160917414
Oct 2010,102.4,337.47269210581806,99.3,405.99099087790995
Nov 2010,105,336.1228013373948,101.7,412.89283772283443
Dec 2010,105.1,471.5802902763649,129,532.6317606624565
Jan 2011,101.1,251.35229471730247,72.8,387.7559217622683
Feb 2011,100.8,308.15791332341286,99.1,384.2661184664079
Mar 2011,97.6,306.6171237567958,108.9,418.46580300991815
Apr 2011,98.7,336.0523676374482,98.9,413.8626791768091
May 2011,96.3,304.79949744716555,100.5,415.9319925726931
Jun 2011,101.7,337.4130436740123,105.7,439.6401161493366
Jul 2011,101.2,334.7137393246202,97.8,429.96803359405124
Aug 2011,101.6,319.3169073156877,98.1,421.7986409557642
Sep 2011,103,327.9384638132113,101.8,429.391016492968
Oct 2011,98.6,331.2178484513434,100.1,429.82040750946095
Nov 2011,101.7,338.50464111727297,102.5,440.56591769719745
Dec 2011,103.5,488.1236924911076,134.4,592.1205933850334
Jan 2012,100.4,252.35994901790266,72.2,427.5110684239942
Feb 2012,102.7,316.71173601746784,100.8,430.9311569713861
Mar 2012,103.2,316.71173601746784,105.7,455.4942329187551
Apr 2012,101.4,340.78182795479535,100.9,459.5936810150239
May 2012,105.4,321.357263761372,101.9,468.3259609543093
Jun 2012,107.7,363.1337080503503,103.3,483.7807176658015
Jul 2012,100.8,337.35121477877544,96,464.4294889591694
Aug 2012,108.2,345.4476439334661,96.3,447.2455978676801
Sep 2012,104.8,343.72040571379875,100.5,449.48182585701846
Oct 2012,103.7,343.72040571379875,102.6,461.16835332930094
Nov 2012,109.1,369.15571573661987,102.1,470.8528887492162
Dec 2012,105.5,514.9722234525848,132.1,621.9966660377146
Jan 2013,100.4,254.3962783855769,72.7,452.1915762094185
Feb 2013,106.6,338.34705025281727,99,447.6696604473243
Mar 2013,109.6,347.82076765989615,107.5,481.2448849808736
Apr 2013,109,372.1682213960888,104.2,501.4571701500703
May 2013,100.2,322.669847950409,98.4,493.4338554276692
Jun 2013,102.1,371.3929949909208,103.9,512.6777757893483
Jul 2013,104.5,353.19473823636565,96.8,496.2720869640891
Aug 2013,104.2,360.6118277393293,96.8,480.3913801812383
Sep 2013,100.8,346.90857828523485,100.2,481.35216294160074
Oct 2013,105.5,363.56019004292614,101.9,490.4978540374912
Nov 2013,102.2,378.1025976446432,100.8,494.42183686979115
Dec 2013,103.4,532.3684574836577,130.2,643.737231604468
Jan 2014,99.5,253.40738576222108,74.3,478.2967630821197
Feb 2014,99.4,336.5250082922296,98.4,470.64401487280577
Mar 2014,93.3,324.74663300200154,106.9,503.11845189902937
Apr 2014,100.4,373.78337458530376,103.8,522.2369530711925
May 2014,106.4,343.50692124389417,97.1,507.0920814321279
Jun 2014,96.5,358.6212257786255,104.1,527.8828567708451
Jul 2014,102.9,363.64192293952624,95.9,506.23965964324054
Aug 2014,104.4,376.73303216534913,94.4,477.8902387032191
Sep 2014,100.4,348.8547877851133,103.1,492.7048361030189
Oct 2014,102.1,371.5303489911457,100.9,497.13917962794613
Nov 2014,96.5,365.2143330582962,99,492.16778783166666
Dec 2014,92.4,492.6741352956415,126.5,622.5922516070583
Jan 2015,98.5,249.78578659489028,71.3,443.90827539583256
Feb 2015,97.7,329.4674525186603,99.3,440.80091746806175
Mar 2015,97.9,318.59502658554453,103.4,455.78814866197587
Apr 2015,97.7,365.7470905202051,104.9,478.1217679464127
May 2015,92.6,318.93146293361883,99.8,477.1655244105199
Jun 2015,96.4,347.3163631347109,102.8,490.5261590940144
Jul 2015,96.8,353.5680576711357,95,465.9998511393137
Aug 2015,95,359.2251465938739,94.7,441.3018590289301
Sep 2015,95.3,333.72016118570883,101.7,448.8039906324219
Oct 2015,93.5,348.40384827788,100.6,451.4968145762164
Nov 2015,93.9,343.8745982502676,99.3,448.3363368741829
Dec 2015,105,518.2190195631532,129.2,579.2505472414443
Jan 2016,94,235.27143488167155,74.3,430.38315660039314
Feb 2016,96.3,317.85170852513824,103.2,444.15541761160574
Mar 2016,99.5,317.53385681661314,104.3,463.25410056890473
Apr 2016,93.5,342.6190315051256,102.3,473.9089448819895
May 2016,95,303.56046191354125,101.7,481.96539694498335
Jun 2016,95.6,332.7022662572412,102.7,494.9784626624979
Jul 2016,92,326.0482209320964,92.8,459.340013350798
Aug 2016,90.1,324.41797982743594,98.5,452.449913150536
Sep 2016,97.4,326.0400697265731,101,456.9744122820414
Oct 2016,94.1,328.6483902843857,99.4,454.2325658083492
Nov 2016,93.8,323.39001603983553,100.9,458.3206589006243
Dec 2016,92.7,481.5277338833151,130.9,599.9417425009173
Jan 2017,108.9,256.65428215980694,74.4,446.3566564206825
Feb 2017,96.2,306.1885586166497,102.7,458.4082861440409
Mar 2017,96,305.26999294079974,106.6,488.66323302954754
Apr 2017,92.2,316.2597126866685,103.3,504.78911971952255
May 2017,99.5,302.34428532845504,100.8,508.8274326772787
Jun 2017,99.9,332.57871386130057,103.9,528.6717025516925
Jul 2017,96,313.28914845734516,92.1,486.9066380501088
Aug 2017,99,321.1213771687788,98.1,477.65541192715676
Sep 2017,99.1,323.36922680896026,102.8,491.0297634611171
Oct 2017,98.6,324.0159652625782,100.6,493.97594204188374
Nov 2017,99.9,323.0439173667905,101.1,499.4096774043444
Dec 2017,98.8,475.5206463639156,131.2,655.2254967544998
Jan 2018,93.2,239.18688512104953,76.3,499.9370540236833
Feb 2018,104.2,319.0753047514801,102.5,512.4354803742754
Mar 2018,104.6,319.3943800562315,104.7,536.5199479518664
Apr 2018,105.6,333.7671271587619,102.4,549.3964267027112
May 2018,100.2,302.7267843329971,100.9,554.3409945430357
Jun 2018,100.5,334.2103699036288,103.6,574.2972703465849
Jul 2018,102.4,320.84195510748367,92.2,529.5020832595513
Aug 2018,99.1,318.5960614217313,97.5,516.2645311780625
Sep 2018,97.5,315.41010080751397,100.9,520.9109119586651
Oct 2018,101.4,328.97273514223707,100.1,521.4318228706237
